,Concepción,Coronel,Chiguayante,Hualqui,Lota,Penco,San Pedro de la Paz,Talcahuano,Tomé,Hualpén
Concepción,314.091,12.044,30.874000000000002,3.889,2.8939999999999997,13.175999999999998,46.68600000000001,43.104,6.832000000000001,36.35
Coronel,12.134,137.127,758.0,162.0,7.456,464.0,7.01,3.218,311.0,1.003
Chiguayante,30.788,929.0,72.59100000000001,2.985,87.0,432.0,2.099,5.045,460.0,3.1689999999999996
Hualqui,3.946,96.0,2.82,18.984,0.0,61.0,268.0,1.386,0.0,664.0
Lota,2.782,7.8,87.0,0.0,46.836000000000006,0.0,878.0,557.0,18.0,353.0
Penco,13.674000000000001,459.0,280.0,92.0,0.0,55.42100000000001,1.376,3.9530000000000003,1.188,1.8230000000000002
San Pedro de la Paz,48.123999999999995,6.877999999999999,1.892,266.0,936.0,1.5630000000000002,102.195,10.494000000000002,209.0,4.136
Talcahuano,42.511,3.2510000000000003,5.2620000000000005,1.203,557.0,4.2669999999999995,10.635,182.495,1.624,23.421999999999997
Tomé,6.6160000000000005,311.0,528.0,0.0,56.0,1.33,228.0,1.526,56.57,358.0
Hualpén,36.637,1.198,3.177,606.0,315.0,1.517,4.8469999999999995,23.68,197.0,72.61399999999999
